hash_sec_uid,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7
f6b99650b54bca4f8f77b52d52cb8288,0.23898806,-1.1633006,0.9203006,1.7199931,-0.059297986,-0.31351876,0.022995576,-0.58771217
cfd1d9a28897b834495c0a7062b05033,0.9477108,-0.5437165,0.16849257,1.2202747,-0.25252905,-0.08801067,0.57485455,-0.7530705
f88ffe5d80213d3318c0b7701127d375,1.0502075,-1.5573356,0.2655724,0.818045,0.10906374,0.6229354,0.9147062,-0.66007125
cd3e82463d3247febf53a2947361f492,0.629063,-1.161363,0.9000394,1.4455199,0.16905552,-0.39629453,-0.008023098,-0.19740492
1353dfcbb906f827b7259758582df90c,0.5828695,-0.8782443,-0.5532482,1.0352182,-0.27911353,0.32962912,0.30551937,-0.35378388
02c6735f016d38f9c96f45fe5f64182e,0.9074908,-1.4082496,0.2748088,0.7491958,1.1379709,0.57248515,-1.0377092,-1.6498144
26f457007bd85ae7c76f57e8ac33e6a4,0.7057664,-1.2624135,0.5347462,1.645868,0.24035919,-0.953635,0.39976168,-0.34808716
85aba37334231aca2ed742f0559de937,1.7827481,-2.0615492,-0.87426466,0.12639979,2.5166786,0.9585452,0.1161353,-1.7688184
052907da249febc44b11ca759c968770,0.72635865,-1.095797,-0.6280654,0.9230633,-0.3391872,0.54096556,0.31085297,-1.2527642
e4912d55a4d49b8b0637388dd19f7056,0.9768353,-1.3457983,-0.703259,-0.38014945,0.3507821,0.6534224,0.72749436,0.1137267
b1c47f96a543d22cef2e5a356208b446,0.9190559,-1.1650959,0.7003145,1.3290184,0.3305502,-1.1094527,0.49752003,-0.100446366
b3ae2a067bff80bc620b49a6376576ea,0.29917902,-1.7475617,0.15819927,1.3454044,0.06904452,-0.05946654,1.1557592,-0.30522048
d8d0f31ec5a2ec0250ac41022aa5f2d5,0.58772457,-0.7930051,0.50079775,2.2104661,-0.13023582,-0.21379185,0.11004317,-1.1816115
46822f190ffae35eed3f8c107e2a9aba,0.7404291,-0.9694705,0.0094959345,1.2933847,-0.37431282,-0.5652792,1.0061102,0.8597586
785b076ccfd7a3f55f9fe72b4bfd7cdd,1.6164178,-1.6164212,0.12859638,0.31519702,0.9134019,0.91047233,-0.90784943,-1.3366629
45f2514779ad9fa672298293fc536a90,1.4220214,-1.3907433,0.2448513,0.28203908,1.7966566,0.3419845,-1.1321435,-1.4446034
ae2f71dc271802a25bf440f20ed038dc,1.0193598,-2.1461263,0.11239012,0.5245267,0.44436222,0.027521491,1.088408,0.009031855
415b82100b4dd3e36962d1730cd73eaa,0.20711274,-1.9041251,0.33946624,1.253927,0.15603441,0.601251,0.5143351,-0.10000432
8e41400c900917c5f1a347106d907f94,1.3931695,-1.5161061,0.17331274,0.32149455,1.9501961,0.49506712,-1.3423845,-1.4253002
54bf9d617438c0cf154779ad17ab742a,0.6840502,-1.4921346,-0.72397166,0.65646696,0.15866935,-0.28905886,0.4401666,0.4076452
55b454cbe668f205233ba8a54f1094cb,0.9116668,-1.2139602,0.56557584,1.4764984,0.31673557,-1.0048262,0.4215645,-0.08442559
ee7b42c2a3358dae84d1f0f58545267f,1.5910777,-1.8588667,0.16747494,0.17740425,0.55794555,-0.11616951,1.2519562,0.47236797
29311bed5d518b4c3c513450d7f605ca,1.6445776,-1.1813889,-0.26071194,1.4145806,2.7707582,-0.55158365,-0.97476804,-2.2139084
cfd241e430cef2aa15249ad4585c9f60,1.5394181,-0.9390188,0.6349273,1.2538598,1.6412023,0.16735363,-1.2000475,-1.7135009
35e51ce498e8d8b59ec3460364e5cc5f,0.42862505,-2.1192884,0.09381529,1.1115093,0.3728543,-0.016313434,0.88154817,0.27238014
66165793caadc3a7db8fc8ac3016c0b1,1.0080209,-1.6826477,0.3025057,0.7377763,0.08204513,0.7194111,0.83323526,-0.2380872
a9052ce5182606c670fab337a57c542b,0.50867456,-1.433773,-0.38563195,0.3954784,0.13962501,-0.5191365,0.60461295,0.17433557
829a2f9952e9a6961d07e3a438b09940,1.1778078,-2.084226,-0.08306936,0.685681,0.4303531,0.13679165,1.0505402,0.07953013
206b46aba4c29e975526ac18954a6275,0.9580067,-1.6767906,-0.65726703,-0.41229936,1.7290962,1.0840183,-0.9316976,-2.3208191
1116f3ca36f9e15ff8d339d9c757a763,1.1257715,-0.48453516,0.51562864,1.9640038,-0.114240475,-0.27239835,0.2607789,-0.5815806
d301e1160409e69277e749247c8434e9,1.6294389,-1.5836645,-1.4982636,-0.25254562,1.6277977,0.26835987,0.15397042,-1.0453199
488e0109a59586a0f5d962601aad42f2,2.193005,-1.2577195,-0.68087,-0.63232636,4.399862,1.4635333,0.013133377,-1.2881324
